"","start_time","haul","stationid","stratum","start_latitude","start_longitude","end_latitude","end_longitude","gear_depth","bottom_depth","surface_temperature","gear_temperature"
"1",2017-07-06 16:34:19,155,"198-96",31,56.36779,-153.67605,56.37683,-153.69107,70,77,11.9,5.8
"2",2017-07-06 17:29:08,156,"198-96",31,56.37213,-153.66514,56.37224,-153.67369,70,77,11,5.8
"3",2017-07-07 08:12:12,157,"198-96",31,56.37172,-153.68801,56.37156,-153.66413,70,77,11,6
"4",2017-07-07 13:14:18,158,"199-97",31,56.40275,-153.56676,56.40864,-153.5454,71,79,10.7,5.8
"5",2017-07-07 14:53:46,159,"201-100",31,56.52328,-153.39386,56.51769,-153.41606,83,89,11.2,5.5
"6",2017-07-07 16:46:49,160,"204-101",31,56.55315,-153.11102,56.55453,-153.13545,94,100,11.8,5.2
"7",2017-07-07 18:02:56,161,"205-99",31,56.49138,-153.07699,56.48997,-153.10202,64,69,10.7,5.5
"8",2017-07-08 06:57:32,162,"202-106",130,56.80914,-153.29335,56.80965,-153.26983,157,163,11.6,4.8
"9",2017-07-08 08:27:54,163,"205-106",31,56.81341,-153.0384,56.81431,-153.06352,63,70,11.1,6.3
"10",2017-07-08 12:35:57,164,"208-108",31,56.88858,-152.8022,56.87972,-152.7835,94,100,11.6,5.7
"11",2017-07-08 14:29:49,165,"211-110",130,56.98316,-152.55582,56.99048,-152.57592,153,159,12.2,5.7
"12",2017-07-08 16:37:17,166,"213-107",130,56.83416,-152.41211,56.84245,-152.43033,162,168,11.6,5.8
"13",2017-07-09 06:57:52,167,"220-110",31,56.98169,-151.8509,56.9685,-151.85482,71,78,11.6,6.8
"14",2017-07-09 08:09:34,168,"220-110",31,56.97905,-151.8476,56.9657,-151.85333,69,75,12,6.8
"15",2017-07-09 10:26:30,169,"224-109",231,56.93383,-151.51837,56.92225,-151.53227,255,260,12.4,6
"16",2017-07-09 13:16:42,170,"225-113",134,57.11748,-151.44394,57.12305,-151.42219,148,154,12.1,6
"17",2017-07-11 09:52:49,171,"218-101",134,56.58538,-151.97455,56.57774,-151.9901,139,145,11.7,6
"18",2017-07-11 12:10:36,172,"217-101",31,56.56798,-152.10261,56.57566,-152.08335,90,97,11.4,6.6
"19",2017-07-11 14:35:45,173,"220-101",430,56.55195,-151.85415,56.56276,-151.84104,527,534,12.5,3.9
"20",2017-07-11 18:49:39,174,"217-99",330,56.49794,-152.0702,56.49019,-152.08946,355,361,12.2,4.5
"21",2017-07-12 07:01:08,175,"212-100",134,56.54723,-152.5237,56.55275,-152.50319,190,197,11.6,5.7
"22",2017-07-12 09:20:53,176,"211-101",130,56.56604,-152.547,56.57443,-152.52739,156,163,11.8,5.9
"23",2017-07-12 11:29:32,177,"210-103",130,56.63909,-152.62636,56.65181,-152.61944,107,114,11.5,6.3
"24",2017-07-12 13:06:14,178,"212-103",130,56.67067,-152.52435,56.6841,-152.52044,153,160,11.7,5.8
"25",2017-07-12 15:18:14,179,"216-104",31,56.72551,-152.15712,56.71619,-152.175,70,78,11.7,6.1
"26",2017-07-12 17:46:23,180,"221-105",231,56.76011,-151.76932,56.74752,-151.77817,229,235,12.8,5.9
"27",2017-07-13 06:56:14,181,"222-109",134,56.93208,-151.66456,56.94066,-151.64607,127,134,12.5,6.1
"28",2017-07-13 08:50:05,182,"224-111",330,57.01576,-151.45543,57.00334,-151.4634,342,348,12.2,4.3
"29",2017-07-13 11:09:07,183,"226-111",430,57.03905,-151.32046,57.0352,-151.34553,576,582,12.3,3.9
"30",2017-07-13 16:18:13,184,"221-117",31,57.301,-151.75584,57.29326,-151.77584,56,63,11.5,7.9
"31",2017-07-13 18:18:56,185,"225-119",130,57.36572,-151.40719,57.36433,-151.43206,147,154,12.1,6.1
"32",2017-07-14 06:55:39,186,"218-128",30,57.79978,-151.97009,57.78683,-151.9645,87,94,9.7,7.1
"33",2017-07-14 11:19:23,187,"227-117",130,57.28277,-151.2695,57.295,-151.27792,138,145,11.8,6.1
"34",2017-07-14 12:41:59,188,"228-116",134,57.23685,-151.1994,57.22345,-151.19897,116,123,12.3,6.1
"35",2017-07-14 15:08:31,189,"231-120",31,57.43194,-150.9324,57.41952,-150.94536,87,92,12,7.2
"36",2017-07-15 07:21:15,190,"236-118",430,57.33388,-150.52841,57.33801,-150.50427,517,522,12.9,4
"37",2017-07-15 10:52:37,191,"242-123",330,57.57964,-150.03013,57.58507,-150.0074,478,484,10.9,4
"38",2017-07-15 15:12:07,192,"245-127",330,57.74501,-149.78508,57.75526,-149.77324,417,423,12.2,4.3
"39",2017-07-15 17:55:44,193,"243-132",230,57.95601,-149.89147,57.96728,-149.87955,255,261,12.3,4.7
"40",2017-07-16 07:04:05,194,"242-135",230,58.12749,-150.01084,58.12674,-150.03766,241,246,11.2,5.3
"41",2017-07-16 10:37:21,195,"248-137",131,58.23124,-149.51675,58.22565,-149.50065,84,91,12.1,6.1
"42",2017-07-16 12:13:35,196,"250-138",131,58.27667,-149.34425,58.27482,-149.36964,135,141,12,5.9
"43",2017-07-16 16:33:47,197,"251-134",131,58.09101,-149.2803,58.07804,-149.27514,134,142,11.2,5.9
"44",2017-07-16 17:42:33,198,"250-135",131,58.10522,-149.38249,58.09905,-149.36012,135,143,12.2,5.9
"45",2017-07-17 07:00:40,199,"259-138",330,58.2605,-148.62827,58.26411,-148.60356,363,369,13.7,4.3
"46",2017-07-17 14:15:12,200,"253-140",131,58.3652,-149.13061,58.36065,-149.10739,132,139,12.1,6
"47",2017-07-17 15:25:44,201,"252-141",131,58.39285,-149.19573,58.38856,-149.17084,132,139,12.1,6
"48",2019-05-29 18:15:53,27,"62-36",111,53.79668,-164.87719,53.80067,-164.89866,116,124,7.5,5.9
"49",2019-05-30 07:28:47,28,"64-41",11,53.99506,-164.71819,53.98298,-164.72104,95,102,7.3,5.9
"50",2019-05-30 10:44:14,29,"70-46",11,54.18759,-164.25241,54.17893,-164.27124,73,80,7,5.8
"51",2019-05-30 13:56:39,30,"74-49",11,54.32095,-163.89493,54.31264,-163.91287,106,113,7.3,5.7
"52",2019-05-30 16:12:40,31,"70-49",11,54.31718,-164.22762,54.33025,-164.22845,95,102,7.6,5.6
"53",2019-05-30 18:12:32,32,"69-54",11,54.5316,-164.26535,54.52042,-164.27833,30,38,7.5,7.1
"54",2019-05-31 07:33:09,33,"81-43",11,54.07249,-163.30761,54.08355,-163.32085,74,81,7.2,6
"55",2019-05-31 09:57:08,34,"86-44",11,54.1046,-162.92155,54.11032,-162.94278,67,74,7.4,5.8
"56",2019-05-31 11:28:25,35,"87-45",11,54.17085,-162.82308,54.18368,-162.81721,67,73,7.3,6.2
"57",2019-05-31 13:50:44,36,"90-49",11,54.32042,-162.54152,54.30607,-162.53246,37,44,7.3,7
"58",2019-05-31 15:57:38,37,"89-46",11,54.21931,-162.67824,54.22243,-162.65544,67,73,7.9,6
"59",2019-05-31 18:28:30,38,"84-48",11,54.28187,-163.0753,54.27941,-163.05232,58,65,NA,5.9
"60",2019-06-01 07:23:16,39,"79-54",11,54.54653,-163.51339,54.56222,-163.51458,98,106,7.4,5.7
